Name,YT Scope Project,
File,C:\Users\nwbrown\workspace\GMD-GPI-40-disconnect\GPI-40-crash.csv,
Starttime of export,132371355414070000,Saturday, June 20, 2020,07:05:41.407
Endtime of export,132371355713970000,Saturday, June 20, 2020,07:06:11.397


Name,i_iPRESS_R
SymbolComment, input Pressure // Link to analog Input
Data-Type,INT16
SampleTime,10
VariableSize,2
SymbolBased,True
IndexGroup,61472
IndexOffset,1425784
SymbolName,GVL_GMD.fb_EM1K0_GMD_GPI_40.i_iPRESS_R
NetID,172.21.92.59.1.1
Port,851
Offset,0
ScaleFactor,1
BitMask,0xffffffffffffffff
Unit,(None)
Unit ScaleFactor,1
Unit Offset,0


0,544
10,544
20,545
30,545
40,545
50,545
60,545
70,545
80,545
90,545
100,547
110,547
120,546
130,547
140,547
150,548
160,546
170,544
180,544
190,545
200,545
210,545
220,547
230,548
240,546
250,545
260,545
270,545
280,546
290,547
300,548
310,545
320,542
330,545
340,544
350,542
360,545
370,547
380,548
390,546
400,545
410,545
420,545
430,544
440,544
450,545
460,546
470,545
480,546
490,547
500,545
510,545
520,545
530,546
540,547
550,546
560,546
570,546
580,546
590,546
600,545
610,545
620,545
630,546
640,547
650,547
660,547
670,547
680,545
690,544
700,545
710,545
720,542
730,544
740,545
750,545
760,544
770,544
780,544
790,546
800,546
810,546
820,546
830,547
840,546
850,545
860,546
870,548
880,548
890,547
900,547
910,548
920,547
930,547
940,547
950,546
960,547
970,547
980,545
990,544
1000,545
1010,546
1020,544
1030,545
1040,546
1050,545
1060,544
1070,544
1080,544
1090,544
1100,544
1110,545
1120,546
1130,546
1140,545
1150,546
1160,545
1170,544
1180,545
1190,546
1200,546
1210,546
1220,545
1230,545
1240,545
1250,545
1260,545
1270,546
1280,545
1290,545
1300,547
1310,545
1320,545
1330,545
1340,546
1350,547
1360,547
1370,546
1380,546
1390,546
1400,545
1410,546
1420,546
1430,547
1440,546
1450,545
1460,545
1470,545
1480,545
1490,545
1500,544
1510,545
1520,545
1530,545
1540,547
1550,548
1560,548
1570,546
1580,545
1590,546
1600,546
1610,545
1620,544
1630,545
1640,544
1650,545
1660,546
1670,545
1680,545
1690,545
1700,546
1710,546
1720,546
1730,546
1740,547
1750,547
1760,546
1770,547
1780,546
1790,545
1800,545
1810,547
1820,548
1830,547
1840,545
1850,546
1860,546
1870,545
1880,545
1890,546
1900,547
1910,546
1920,546
1930,547
1940,546
1950,544
1960,545
1970,547
1980,546
1990,546
2000,547
2010,546
2020,544
2030,546
2040,547
2050,546
2060,546
2070,546
2080,547
2090,546
2100,545
2110,544
2120,545
2130,546
2140,547
2150,547
2160,545
2170,546
2180,548
2190,547
2200,545
2210,545
2220,544
2230,546
2240,548
2250,549
2260,547
2270,545
2280,545
2290,545
2300,546
2310,548
2320,548
2330,547
2340,545
2350,546
2360,546
2370,545
2380,546
2390,546
2400,545
2410,546
2420,546
2430,547
2440,545
2450,544
2460,545
2470,546
2480,547
2490,546
2500,547
2510,546
2520,545
2530,546
2540,545
2550,545
2560,546
2570,547
2580,547
2590,547
2600,546
2610,546
2620,545
2630,545
2640,546
2650,546
2660,546
2670,545
2680,545
2690,545
2700,545
2710,544
2720,545
2730,546
2740,546
2750,546
2760,547
2770,545
2780,545
2790,546
2800,546
2810,545
2820,545
2830,546
2840,544
2850,545
2860,547
2870,547
2880,547
2890,546
2900,546
2910,547
2920,547
2930,548
2940,547
2950,545
2960,544
2970,545
2980,546
2990,548
3000,547
3010,545
3020,545
3030,545
3040,544
3050,545
3060,546
3070,545
3080,546
3090,545
3100,545
3110,546
3120,545
3130,546
3140,547
3150,548
3160,548
3170,546
3180,546
3190,544
3200,544
3210,545
3220,545
3230,545
3240,545
3250,546
3260,546
3270,546
3280,545
3290,542
3300,544
3310,546
3320,546
3330,545
3340,544
3350,544
3360,544
3370,542
3380,545
3390,545
3400,545
3410,546
3420,547
3430,546
3440,545
3450,545
3460,545
3470,545
3480,545
3490,545
3500,546
3510,546
3520,545
3530,545
3540,545
3550,546
3560,547
3570,547
3580,547
3590,547
3600,547
3610,547
3620,546
