Name,YT Scope Project,
File,C:\Users\nwbrown\workspace\GMD-GPI-40-disconnect\01.csv,
Starttime of export,132371360153070000,Saturday, June 20, 2020,07:13:35.307
Endtime of export,132371362436470000,Saturday, June 20, 2020,07:17:23.647


Name,i_iPRESS_R
SymbolComment, input Pressure // Link to analog Input
Data-Type,INT16
SampleTime,10
VariableSize,2
SymbolBased,True
IndexGroup,61472
IndexOffset,1425784
SymbolName,GVL_GMD.fb_EM1K0_GMD_GPI_40.i_iPRESS_R
NetID,172.21.92.59.1.1
Port,851
Offset,0
ScaleFactor,1
BitMask,0xffffffffffffffff
Unit,(None)
Unit ScaleFactor,1
Unit Offset,0


0,565
10,565
20,565
30,562
40,563
50,567
60,564
70,565
80,567
90,567
100,567
110,565
120,564
130,565
140,564
150,565
160,567
170,565
180,565
190,564
200,564
210,567
220,567
230,564
240,564
250,567
260,567
270,565
280,567
290,565
300,564
310,565
320,567
330,565
340,564
350,565
360,564
370,563
380,564
390,567
400,567
410,568
420,568
430,568
440,567
450,565
460,568
470,565
480,565
490,565
500,565
510,565
520,564
530,564
540,565
550,565
560,565
570,565
580,568
590,567
600,565
610,567
620,565
630,565
640,564
650,564
660,567
670,565
680,567
690,567
700,564
710,563
720,564
730,567
740,568
750,567
760,565
770,565
780,568
790,565
800,563
810,563
820,564
830,564
840,565
850,565
860,567
870,567
880,565
890,565
900,565
910,567
920,567
930,567
940,567
950,567
960,565
970,563
980,567
990,567
1000,565
1010,568
1020,567
1030,567
1040,567
1050,565
1060,565
1070,567
1080,567
1090,565
1100,565
1110,565
1120,567
1130,567
1140,567
1150,567
1160,567
1170,565
1180,565
1190,567
1200,565
1210,564
1220,565
1230,567
1240,567
1250,568
1260,568
1270,567
1280,565
1290,563
1300,563
1310,565
1320,565
1330,567
1340,565
1350,565
1360,567
1370,565
1380,565
1390,565
1400,565
1410,564
1420,563
1430,564
1440,564
1450,565
1460,564
1470,563
1480,564
1490,564
1500,564
1510,564
1520,565
1530,565
1540,564
1550,565
1560,563
1570,563
1580,567
1590,567
1600,567
1610,567
1620,567
1630,568
1640,564
1650,563
1660,565
1670,565
1680,565
1690,567
1700,568
1710,567
1720,565
1730,567
1740,567
1750,564
1760,564
1770,565
1780,565
1790,564
1800,565
1810,567
1820,564
1830,565
1840,567
1850,568
1860,568
1870,565
1880,564
1890,565
1900,565
1910,564
1920,565
1930,567
1940,567
1950,567
1960,564
1970,565
1980,567
1990,565
2000,565
2010,565
2020,564
2030,565
2040,567
2050,565
2060,567
2070,565
2080,567
2090,567
2100,567
2110,568
2120,565
2130,567
2140,568
2150,567
2160,568
2170,567
2180,567
2190,567
2200,565
2210,564
2220,565
2230,567
2240,567
2250,568
2260,567
2270,564
2280,565
2290,565
2300,567
2310,567
2320,565
2330,567
2340,565
2350,565
2360,567
2370,565
2380,565
2390,564
2400,564
2410,565
2420,564
2430,565
2440,564
2450,564
2460,565
2470,564
2480,564
2490,567
2500,565
2510,564
2520,565
2530,567
2540,565
2550,565
2560,565
2570,565
2580,565
2590,564
2600,567
2610,567
2620,564
2630,564
2640,565
2650,567
2660,568
2670,567
2680,567
2690,567
2700,567
2710,565
2720,565
2730,567
2740,564
2750,565
2760,567
2770,567
2780,567
2790,565
2800,564
2810,564
2820,565
2830,567
2840,565
2850,565
2860,565
2870,565
2880,565
2890,564
2900,563
2910,564
2920,565
2930,565
2940,565
2950,567
2960,565
2970,564
2980,564
2990,565
3000,565
3010,567
3020,565
3030,565
3040,565
3050,565
3060,564
3070,564
3080,564
3090,565
3100,567
3110,567
3120,564
3130,564
3140,565
3150,565
3160,565
3170,567
3180,565
3190,564
3200,565
3210,565
3220,564
3230,565
3240,567
3250,565
3260,565
3270,565
3280,565
3290,565
3300,565
3310,567
3320,567
3330,567
3340,565
3350,568
3360,567
3370,567
3380,568
3390,568
3400,565
3410,564
3420,565
3430,567
3440,568
3450,568
3460,565
3470,563
3480,564
3490,564
3500,565
3510,565
3520,564
3530,564
3540,565
3550,568
3560,568
3570,567
3580,567
3590,567
3600,567
3610,565
3620,567
3630,568
3640,567
