Name,YT Scope Project,
File,C:\Users\nwbrown\workspace\GMD-GPI-40-disconnect\GPI-40-crash-03.csv,
Starttime of export,132371364161070000,Saturday, June 20, 2020,07:20:16.107
Endtime of export,132371364265970000,Saturday, June 20, 2020,07:20:26.597


Name,i_iPRESS_R
SymbolComment, input Pressure // Link to analog Input
Data-Type,INT16
SampleTime,10
VariableSize,2
SymbolBased,True
IndexGroup,61472
IndexOffset,1425784
SymbolName,GVL_GMD.fb_EM1K0_GMD_GPI_40.i_iPRESS_R
NetID,172.21.92.59.1.1
Port,851
Offset,0
ScaleFactor,1
BitMask,0xffffffffffffffff
Unit,(None)
Unit ScaleFactor,1
Unit Offset,0


0,563
10,564
20,564
30,565
40,567
50,567
60,565
70,565
80,567
90,565
100,564
110,565
120,565
130,564
140,564
150,563
160,563
170,564
180,565
190,564
200,564
210,564
220,564
230,564
240,564
250,565
260,567
270,565
280,564
290,565
300,564
310,564
320,563
330,564
340,567
350,565
360,564
370,565
380,567
390,564
400,563
410,565
420,564
430,563
440,564
450,564
460,565
470,565
480,564
490,565
500,567
510,567
520,565
530,565
540,567
550,567
560,565
570,564
580,565
590,567
600,565
610,565
620,565
630,567
640,567
650,564
660,565
670,568
680,567
690,564
700,564
710,567
720,564
730,563
740,564
750,564
760,565
770,565
780,565
790,567
800,567
810,565
820,565
830,567
840,564
850,564
860,565
870,567
880,567
890,564
900,564
910,565
920,565
930,564
940,564
950,565
960,567
970,565
980,564
990,565
1000,565
1010,564
1020,565
1030,565
1040,564
1050,565
1060,568
1070,568
1080,567
1090,565
1100,564
1110,565
1120,567
1130,567
1140,565
1150,565
1160,564
1170,563
1180,564
1190,567
1200,568
1210,565
1220,565
1230,565
1240,564
1250,564
1260,565
1270,567
1280,567
1290,567
1300,565
1310,565
1320,565
1330,564
1340,565
1350,567
1360,568
1370,567
1380,565
1390,565
1400,565
1410,564
1420,565
1430,565
1440,564
1450,564
1460,567
1470,567
1480,567
1490,565
1500,565
1510,567
1520,564
1530,563
1540,565
1550,568
1560,568
1570,567
1580,565
1590,564
1600,565
1610,565
1620,567
1630,567
1640,565
1650,565
1660,564
1670,564
1680,565
1690,564
1700,565
1710,568
1720,567
1730,565
1740,564
1750,563
1760,564
1770,564
1780,564
1790,567
1800,567
1810,565
1820,567
1830,565
1840,564
1850,565
1860,565
1870,567
1880,567
1890,567
1900,567
1910,567
1920,564
1930,564
1940,567
1950,565
1960,565
1970,567
1980,567
1990,565
2000,564
2010,565
2020,565
2030,564
2040,564
2050,565
2060,565
2070,565
2080,564
2090,564
2100,565
2110,565
2120,565
2130,567
2140,567
2150,567
2160,564
2170,563
2180,564
2190,564
2200,565
2210,567
2220,565
2230,564
2240,565
2250,567
2260,568
2270,564
2280,564
2290,565
2300,567
2310,567
2320,564
2330,564
2340,564
2350,565
2360,567
2370,565
2380,565
2390,567
2400,565
2410,565
2420,564
2430,565
2440,564
2450,564
2460,565
2470,565
2480,565
2490,564
2500,565
2510,567
2520,565
2530,565
2540,567
2550,567
2560,565
2570,564
2580,564
2590,567
2600,567
2610,567
2620,565
2630,564
2640,565
2650,567
2660,567
2670,565
2680,565
2690,565
2700,564
2710,565
2720,565
2730,565
2740,567
2750,567
2760,567
2770,564
2780,563
2790,564
2800,565
2810,567
2820,567
2830,567
2840,565
2850,564
2860,564
2870,565
2880,567
2890,567
2900,565
2910,565
2920,564
2930,563
2940,564
2950,564
2960,565
2970,565
2980,567
2990,567
3000,565
3010,565
3020,565
3030,567
3040,565
3050,564
3060,567
3070,567
3080,567
3090,567
3100,564
3110,563
3120,564
3130,564
3140,567
3150,565
3160,565
3170,567
3180,568
3190,565
3200,565
3210,565
3220,565
3230,565
3240,567
3250,565
3260,565
3270,565
3280,565
3290,565
3300,563
3310,564
3320,567
3330,567
3340,567
3350,564
3360,564
3370,564
3380,564
3390,567
3400,567
3410,567
3420,567
3430,564
3440,563
3450,564
3460,563
3470,564
3480,565
3490,567
3500,567
3510,567
3520,565
3530,564
3540,563
3550,564
3560,567
3570,564
3580,564
3590,565
3600,567
3610,567
3620,565
