Name,YT Scope Project,
File,C:\Users\nwbrown\workspace\GMD-GPI-40-disconnect\GPI-40-crash-a0.csv,
Starttime of export,132371365548470000,Saturday, June 20, 2020,07:22:34.847
Endtime of export,132371365995870000,Saturday, June 20, 2020,07:23:19.587


Name,i_iPRESS_R
SymbolComment, input Pressure // Link to analog Input
Data-Type,INT16
SampleTime,10
VariableSize,2
SymbolBased,True
IndexGroup,61472
IndexOffset,1425784
SymbolName,GVL_GMD.fb_EM1K0_GMD_GPI_40.i_iPRESS_R
NetID,172.21.92.59.1.1
Port,851
Offset,0
ScaleFactor,1
BitMask,0xffffffffffffffff
Unit,(None)
Unit ScaleFactor,1
Unit Offset,0


0,567
10,567
20,567
30,565
40,565
50,565
60,565
70,567
80,567
90,567
100,564
110,564
120,565
130,564
140,563
150,563
160,565
170,568
180,565
190,564
200,565
210,565
220,567
230,565
240,564
250,564
260,565
270,565
280,567
290,568
300,567
310,564
320,564
330,565
340,565
350,567
360,565
370,565
380,564
390,564
400,565
410,564
420,564
430,564
440,564
450,564
460,567
470,565
480,564
490,565
500,564
510,565
520,564
530,562
540,565
550,568
560,565
570,567
580,568
590,567
600,567
610,565
620,565
630,565
640,564
650,567
660,567
670,565
680,564
690,564
700,564
710,567
720,568
730,567
740,565
750,565
760,563
770,564
780,568
790,567
800,565
810,564
820,564
830,565
840,567
850,567
860,565
870,565
880,565
890,565
900,567
910,567
920,567
930,567
940,567
950,565
960,565
970,565
980,567
990,567
1000,565
1010,565
1020,565
1030,563
1040,564
1050,564
1060,564
1070,567
1080,567
1090,564
1100,564
1110,564
1120,564
1130,565
1140,567
1150,567
1160,565
1170,567
1180,565
1190,564
1200,565
1210,564
1220,565
1230,567
1240,567
1250,567
1260,567
1270,565
1280,564
1290,564
1300,565
1310,564
1320,564
1330,567
1340,567
1350,565
1360,564
1370,564
1380,564
1390,564
1400,565
1410,567
1420,567
1430,567
1440,567
1450,567
1460,564
1470,565
1480,565
1490,565
1500,565
1510,565
1520,565
1530,564
1540,564
1550,565
1560,565
1570,565
1580,565
1590,567
1600,567
1610,567
1620,567
1630,568
1640,565
1650,564
1660,564
1670,565
1680,565
1690,565
1700,565
1710,564
1720,564
1730,564
1740,564
1750,567
1760,565
1770,565
1780,567
1790,565
1800,564
1810,567
1820,567
1830,565
1840,565
1850,567
1860,564
1870,563
1880,565
1890,567
1900,567
1910,567
1920,568
1930,567
1940,565
1950,565
1960,565
1970,567
1980,565
1990,564
2000,565
2010,564
2020,565
2030,565
2040,563
2050,564
2060,565
2070,565
2080,567
2090,565
2100,565
2110,567
2120,567
2130,564
2140,563
2150,564
2160,565
2170,565
2180,565
2190,565
2200,565
2210,565
2220,567
2230,565
2240,563
2250,564
2260,567
2270,567
2280,564
2290,564
2300,565
2310,565
2320,564
2330,565
2340,565
2350,564
2360,564
2370,567
2380,567
2390,564
2400,565
2410,565
2420,567
2430,567
2440,567
2450,567
2460,564
2470,564
2480,567
2490,565
2500,564
2510,565
2520,567
2530,565
2540,565
2550,565
2560,564
2570,564
2580,565
2590,567
2600,567
2610,565
2620,565
2630,565
2640,565
2650,564
2660,564
2670,567
2680,565
2690,565
2700,564
2710,564
2720,565
2730,564
2740,564
2750,565
2760,565
2770,565
2780,565
2790,565
2800,565
2810,565
2820,565
2830,565
2840,565
2850,567
2860,567
2870,565
2880,563
2890,563
2900,565
2910,567
2920,565
2930,565
2940,565
2950,565
2960,565
2970,565
2980,564
2990,564
3000,565
3010,565
3020,567
3030,567
3040,565
3050,565
3060,563
3070,564
3080,565
3090,565
3100,567
3110,567
3120,567
3130,565
3140,565
3150,567
3160,567
3170,567
3180,567
3190,565
3200,564
3210,564
3220,565
3230,567
3240,564
3250,564
3260,564
3270,565
3280,567
3290,565
3300,564
3310,564
3320,564
3330,564
3340,565
3350,567
3360,568
3370,567
3380,564
3390,564
3400,564
3410,565
3420,567
3430,569
3440,567
3450,565
3460,567
3470,567
3480,564
3490,565
3500,565
3510,565
3520,565
3530,565
3540,565
3550,567
3560,565
3570,565
3580,565
3590,565
3600,565
3610,565
3620,565
